,C1.1,C1.2,C1.3,C1.4,C1.5,C1.6,C1.7,C1.8,C1.9,C1.10,C1.11,C1.12,C1.13,C1.14,C1.15,C1.16,C1.17,C1.18,C1.19,C1.20,C1.21,C1.22,C1.23,C1.24,C1.25,C1.26,C1.27,C1.28,C1.29,C1.30,C1.31,C1.32,C1.33,ABC.1,ABC.2,ABC.3,ABC.4,ABC.5,ABC.6,ABC.7,ABC.8,ABC.9,ABC.10,ABC.11,ABC.12,ABC.13,ABC.14,ABC.15,ABC.16,ABC.17,ABC.18,ABC.19,ABC.20,ABC.21,ABC.22,ABC.23,ABC.24,ABC.25,ABC.26,ABC.27,ABC.28,ABC.29,ABC.30,ABC.31,ABC.32,ABC.33,Space1,description,Space2,pvalue (Ttest),Bonferoni Correction (Ttest),Benjamin-Hochberger Correction (Ttest),Space3,Mann-Whitney U Test (Wilcox-Test),Bonferoni Correction (Wilcox-Test),Benjamin-Hochberger Correction (Wilcox-Test),Space5,Average Group 1,Average Group 2,Group_2/Group_1
Virulence,0.020541423,0.023295121,0.015736274,0.015296804,0.014500297,0.00936283,0.022235225,0.031952202,0.008458484,0.018266476,0.028939828,0.009925155,0.024829932,0.0165327,0.020517395,0.020004211,0.010345638,0.016064257,0.017547732,0.015256449,0.020533612,0.027735645,0.020552516,0.031700999,0.018486135,0.010128056,0.028902384,0.014695772,0.015110088,0.010721248,0.020121666,0.020895522,0.018838056,0.013847623,0.021300077,0.017447899,0.02063386,0.008589922,0.033377748,0.02971892,0.010219613,0.017920947,0.023913043,0.027267668,0.020649819,0.015988372,0.013540511,0.039137715,0.014022874,0.018501557,0.018338727,0.027540182,0.014112291,0.014089595,0.033852182,0.031522793,0.027767629,0.031246621,0.027075968,0.019164882,0.028242289,0.014326648,0.026000338,0.010900693,0.028940768,0.019020963,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.0892907972,1,0.6976091236,,0.1793197473,1,0.7753696754,,0.01872818582,0.02176426476,1.162112816
Pyridoxine biosynthesis,0.000748198,0.003747795,0.001148633,0,0.000817965,0.003728561,0.000195046,0.002078192,0,0.001313276,0.002148997,0.000162707,0.002154195,0.001096091,0.000356824,0.000631712,0.003448546,0.001506024,0.002538351,0.002308542,0.000326968,0.000650054,0.004537568,0.000493401,0.001498876,0,0.000112461,0.002750086,0.000287811,0.00278474,0.001754796,0.005259417,0.001266424,0.001008065,0,0.001453992,0.001929785,0.000786401,0.002598268,0.003332963,0.000869754,0.001172398,0.00173913,0.005787423,0.001299639,0.001635174,0.000887902,0,0.004177026,0.001831837,0.001471021,0.00197387,0.00091047,0.002408478,0.001415043,0.002182347,0.004932408,0.000973078,0.002759334,0.000214133,0.000867088,0.003929595,0.0005065,0.002678984,0.002797608,0.005083681,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2436136414,1,0.6976091236,,0.1821963389,1,0.7753696754,,0.001571280515,0.001988284697,1.265391302
Immunity,0.024826554,0.023442093,0.019641626,0.019178082,0.044244497,0.022951363,0.017749171,0.005325367,0.014155015,0.021012416,0.011031519,0.029124634,0.014965986,0.023931312,0.036752899,0.010107391,0.00634846,0.016315261,0.020306809,0.012295493,0.018375621,0.034127844,0.037234752,0.006044159,0.030726955,0.109429569,0.007534863,0.005414232,0.037127644,0.020467836,0.008423023,0.019616205,0.03071078,0.015916808,0.040944708,0.01890189,0.023008981,0.027887,0.010526316,0.004277303,0.016887729,0.013901295,0.013478261,0.019699499,0.039566787,0.032885174,0.012652608,0.020301381,0.006464446,0.020150211,0.030499166,0.014381051,0.035660091,0.009152216,0.013388484,0.004607177,0.008037998,0.004973511,0.011123566,0.06862955,0.007184442,0.006058125,0.035117339,0.012840647,0.012155123,0.011652482,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3115027357,1,0.6976091236,,0.1966022004,1,0.7753696754,,0.02299816458,0.01887610197,0.8207655836
Pyrimidine biosynthesis,0.000612162,0.002131099,0.00137836,0.000228311,0.000520523,0.000497141,0.000390092,0.00389661,0,0.001193887,0.000143266,0,0.001473923,0.001461454,0.000713649,0,0.001332393,0.003263052,0.001048449,0.000752785,0.000261575,0.000108342,0.000133458,0.00012335,0,0,0.00348628,0.001546923,0,0.002645503,0.003509593,0.000710732,0,0.00079584,0.000662179,0.003738835,0.001039115,0,0.002265157,0.00272192,0.000144959,0.001284055,0.001086957,0.001001669,0.000577617,0.001090116,0,0,0.00099453,0.000915919,0.000784544,0.002067864,0.002579666,0.003733141,0.002176989,0,0,0.001189318,0.001552126,0.000749465,0.000371609,0.001882931,0,0.001200924,0.0025082,0.004969441,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2817974372,1,0.6976091236,,0.2070928157,1,0.7753696754,,0.001017057939,0.001335911697,1.313505991
Protein biosynthesis,0.034893212,0.050485009,0.02079026,0.042009132,0.014425937,0.014582815,0.021650088,0.064164177,0.021923011,0.027578797,0.024212034,0.016758868,0.052494331,0.043660943,0.038180196,0.028111181,0.044439219,0.05706158,0.03459883,0.012395865,0.031388962,0.031094258,0.007340184,0.043789318,0.015238571,0.007916182,0.047008547,0.042712272,0.016693049,0.04149262,0.044805803,0.026439232,0.008390059,0.044514007,0.026818232,0.036349789,0.028204557,0.016877382,0.038241173,0.05499389,0.01681525,0.051250558,0.012391304,0.027712855,0.039277978,0.033248547,0.024861265,0.018836333,0.039482844,0.047444587,0.038344611,0.034119748,0.024886191,0.045640655,0.038206161,0.022550921,0.025210084,0.061412045,0.037251013,0.017880086,0.042363434,0.058043389,0.028026338,0.039722864,0.056241559,0.042154567,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2260486116,1,0.6976091236,,0.2347094637,1,0.7753696754,,0.03117347097,0.03543558233,1.136722387
Amino-acid biosynthesis,0.010338729,0.012272193,0.006317482,0.003196347,0.00594884,0.007954263,0.007606788,0.017534745,0.001726221,0.009073543,0.012034384,0.003904979,0.017346939,0.012056997,0.004460303,0.009580964,0.022102046,0.020414993,0.017934003,0.01932149,0.009024326,0.011159263,0.013078874,0.007771062,0.005745691,0.003026775,0.014732344,0.012375387,0.003741546,0.022695628,0.019185774,0.014498934,0.007440241,0.012733447,0.009160137,0.006993007,0.006605804,0.002903636,0.019986676,0.016442617,0.003623976,0.010663243,0.006304348,0.020589872,0.007364621,0.0078125,0.015316315,0.004604437,0.015017404,0.010441473,0.010297146,0.015696964,0.012746586,0.020712909,0.020028301,0.015761397,0.013883814,0.008000865,0.01715961,0.019057816,0.008547009,0.017519443,0.005740334,0.020785219,0.018425622,0.020734563,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.241965304,1,0.6976091236,,0.2398127126,1,0.7753696754,,0.01107885133,0.01277760942,1.153333413
mRNA processing,0.003264862,0.008009994,0.000804043,0.003652968,0.000371802,0.005054271,0.001365321,0.006754124,0.001726221,0.001313276,0.00286533,0.00065083,0.005328798,0.005480453,0.004817128,0.001158139,0.005329571,0.005103748,0.004966339,0.001505571,0.003989014,0.001733478,0.000266916,0.00641421,0.001998501,0.000349243,0.005173189,0.00464077,0.00129515,0.004734057,0.006902199,0.004690832,0.000791515,0.003130306,0.003973071,0.007131482,0.001558673,0.002117234,0.006062625,0.007776914,0.001304631,0.007090219,0.000652174,0.003116305,0.002888087,0.005268895,0,0.000627878,0.007458976,0.006045063,0.004609199,0.002631826,0.005311077,0.006382466,0.005333624,0,0.000182682,0.009406422,0.003276709,0.001713062,0.005574136,0.00761359,0.002870167,0.004157044,0.007814007,0.004740961,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2083865783,1,0.6976091236,,0.2431947964,1,0.7753696754,,0.003409147364,0.004176348636,1.22504198
Antibiotic resistance,0.023738267,0.034758965,0.017459224,0.032420091,0.013236169,0.007788549,0.016773942,0.03506949,0.017607457,0.02256447,0.01991404,0.013179304,0.035600907,0.024662039,0.026226583,0.024636766,0.028058625,0.035140562,0.024114336,0.008682124,0.022233848,0.027843987,0.008140932,0.028617244,0.00949288,0.005937136,0.030026991,0.028704022,0.014102749,0.02213868,0.025035096,0.018479033,0.005857211,0.030507216,0.017768458,0.022225299,0.024270764,0.011917004,0.023650899,0.02971892,0.01369863,0.034613667,0.012608696,0.021814135,0.026281588,0.022347384,0.022863485,0.016324822,0.027250124,0.02894303,0.02677258,0.029420058,0.016540212,0.028058767,0.026668118,0.020126091,0.022104494,0.034814575,0.025868759,0.014989293,0.026384244,0.035366353,0.023299004,0.025034642,0.029326645,0.026960644,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1567667646,1,0.6976091236,,0.2502493728,1,0.7753696754,,0.02146187027,0.02419813939,1.12749444
Transcription,0.010066658,0.014403292,0.003790489,0.009360731,0.004164188,0.008699975,0.011117613,0.017274971,0.003797687,0.006805158,0.008595989,0.002766027,0.013492063,0.013244428,0.008920607,0.008738682,0.01348068,0.016398929,0.010650039,0.004868012,0.011640073,0.006825569,0.0025357,0.012458369,0.00374719,0.024912689,0.011808367,0.0183912,0.005756224,0.011835143,0.0163781,0.009239517,0.004590787,0.011937606,0.007173601,0.014816866,0.01031693,0.01179602,0.015589607,0.018553494,0.001667029,0.021661456,0.00673913,0.007790762,0.009097473,0.006359012,0.014206437,0.004395144,0.017404276,0.007510533,0.009022261,0.009023404,0.010015175,0.01517341,0.012626537,0.002182347,0.007672634,0.015461131,0.008709149,0.019057816,0.011643751,0.016373312,0.009117002,0.012286374,0.016110361,0.013366082,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.281503326,1,0.6976091236,,0.2502493728,1,0.7753696754,,0.01002288321,0.01135927642,1.13333421
Nucleotide biosynthesis,0.001768467,0.00154321,0.004594533,0.000913242,0.005502677,0.004308559,0.004486054,0.009871412,0.002244088,0.003104107,0.005587393,0.003742271,0.003741497,0.003288272,0.001427297,0.008633397,0.005094443,0.005271084,0.00463525,0.003663555,0.00196181,0.005308776,0.005605232,0.005797459,0.002997752,0.001629802,0.007647323,0.006445514,0.000575622,0.004316346,0.007604118,0.003411514,0.001424727,0.003024194,0,0.004638925,0.005863579,0.002722158,0.005796136,0.007443617,0.002029427,0.004242966,0.000652174,0.002114636,0.001155235,0.002725291,0.001331853,0.002930096,0.003381402,0.000915919,0.002451701,0.003101795,0.005614568,0.006743738,0.004353978,0,0.000548045,0.004216672,0.004915064,0.003961456,0.005574136,0.00523946,0.001181834,0.003510393,0.006366969,0.005712001,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1846227323,1,0.6976091236,,0.2590814817,1,0.7753696754,,0.004186266758,0.003468467212,0.8285346857
Detoxification,0.009590532,0.01271311,0.008614748,0.012328767,0.012492564,0.012345679,0.015408621,0.005065593,0.017780079,0.016595033,0.024212034,0.012040351,0.005895692,0.016441359,0.014451383,0.010212676,0.017164355,0.016147925,0.009546408,0.018066847,0.017852472,0.032936078,0.014279995,0.016035525,0.025231077,0.006169965,0.009559154,0.013234789,0.017700389,0.017265386,0.010177819,0.019900498,0.007756847,0.009868421,0.048780488,0.008446999,0.011430268,0.008710907,0.006462358,0.005054994,0.028267015,0.017195176,0.025869565,0.040734558,0.013140794,0.014898256,0.051498335,0.019464211,0.012332173,0.017768822,0.009022261,0.021524579,0.016236722,0.00867052,0.02013715,0.025703201,0.022104494,0.01610985,0.033370699,0.008244111,0.009661836,0.014490381,0.015026169,0.015889145,0.01119043,0.020734563,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.07735272909,1,0.6976091236,,0.2776951178,1,0.7753696754,,0.01440041667,0.01842543791,1.279507276
Gluconeogenesis,0.019045028,0.021090535,0.019182173,0.019863014,0.020969661,0.032479907,0.017554125,0.028055592,0.015018125,0.02160936,0.013896848,0.008786202,0.020294785,0.017446109,0.017841213,0.014845231,0.021318285,0.023845382,0.028915131,0.023135602,0.014125033,0.019176598,0.026958495,0.02578019,0.016737447,0.020139697,0.033175888,0.030766586,0.025327385,0.0267335,0.024333177,0.026012793,0.021845813,0.020744907,0.007173601,0.018071038,0.015883619,0.018994616,0.023517655,0.022608599,0.006668116,0.019205002,0.022173913,0.016360601,0.020505415,0.02252907,0.00399556,0.002511511,0.02148185,0.022897967,0.017750319,0.019644703,0.020182094,0.024807322,0.024382279,0.004122211,0.013883814,0.020002162,0.019574028,0.023340471,0.03592221,0.033237822,0.024818504,0.024018476,0.023924368,0.019592163,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1341246384,1,0.6976091236,,0.2892190728,1,0.7753696754,,0.02170620939,0.01922806018,0.8858322443
Arginine metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281981,0,0,0.000108849,0.000242483,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1349593241,1,0.6976091236,,0.2917495501,1,0.7753696754,,1.52E-06,1.92E-05,1.26E+01
Cadmium resistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112461,8.59E-05,0.000143906,0,0,0,0,0,0,0,0,0,0,5.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1672559058,1,0.6976091236,,0.2917495501,1,0.7753696754,,1.04E-05,1.68E-06,1.62E-01
Phagocytosis,0,0,0,0,0,0,0,0.00129887,0,0,0,0,0.008390023,0,0.000356824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00021624,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2531673571,1,0.6976091236,,0.2917495501,1,0.7753696754,,0.0003044156667,6.55E-06,2.15E-02
Isoprene biosynthesis,0.001020269,0.001028807,0,0.000913242,0.000446163,0.000579998,0.000975229,0.004026497,0.000172622,0.001671442,0.002148997,0,0.002721088,0.003288272,0.001427297,0.001368709,0.002743162,0.001506024,0.001545083,0.000802971,0.000915511,0.001625135,0.000266916,0.003947206,0,0.000349243,0.004048583,0.001718804,0.000143906,0.002506266,0.004094525,0.002132196,0.000158303,0.002599745,0.000220726,0.000830852,0.001707118,0.00024197,0.004596935,0.003777358,0.000797275,0.002121483,0.001086957,0.000556483,0.002743682,0.003452035,0,0.000209293,0.002386872,0.00293094,0.00254977,0.001691888,0.001972686,0.003131021,0.000108849,0.000242483,0,0.003784193,0.000689834,0.001820128,0.003344482,0.002046664,0.002026,0.001570439,0.003858769,0.0019992,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.309490985,1,0.6976091236,,0.2928794895,1,0.7753696754,,0.001524014121,0.001851397879,1.214816748
Virus entry into host cell,0,0.00095532,0,0,0,0.000662855,0,0,0.02347661,0.000119389,0,0,0,0,0,0,0,0,0,0,0.000261575,0,0,0,0,0,0,0.000257821,0,0,0,0,0,0,0,0,0,0.000362954,0,5.55E-05,0.006813075,0,0,0.000111297,0,0,0.000665927,0,0,0,0,9.40E-05,0,0.000120424,0,0,0,0,0,0,0,8.19E-05,0,9.24E-05,9.65E-05,5.71E-05,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.4857164125,1,0.7578716686,,0.3009477552,1,0.7753696754,,0.0007798051515,0.0002591228727,0.3322918196
Insecticide resistance,0.000136036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041834,0,0,0.000130787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000466356,0.000166648,0,0,0,0,0,0,0,0,9.95E-05,0,9.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192938,0.00011424,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.519051335,1,0.7848056185,,0.3123206581,1,0.7753696754,,2.08E-05,3.45E-05,1.66E+00
Glycerol metabolism,0.000204054,0,0,0,0,0.000331428,0,0.000649435,0,0,0,0,0.000453515,0,0,0,0.001175641,0.000669344,0,0.000752785,0,0.000541712,0,0,0,0,0.000112461,0.000773462,0,0.000139237,0.000233973,0,0.001108121,0.000424448,0,0,0,0,0.000666223,0.000666593,0,0,0.000217391,0,0.000144404,0,0.000665927,0,0.001093983,0.000366367,0,0.000469969,0,0.000120424,0,0.004849661,0.001278772,0.001189318,0,0,0,0.000327466,0,0.001570439,9.65E-05,0.0002856,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1966187505,1,0.6976091236,,0.3130755826,1,0.7753696754,,0.0002165202424,0.0004373774,2.020030068
Acute phase,0.012447286,0.010508524,0.012749828,0.000456621,0.012343843,0.011765681,0.008386971,0.010261073,0.016053858,0.010506208,0.01217765,0.010413277,0.003854875,0.010504202,0.012488849,0.002316277,0.007994357,0.006526104,0.006732149,0.007628224,0.008762752,0.001950163,0.009742426,0.001356852,0.011241569,0.036321304,0.00708502,0.007906497,0.010505109,0.007240323,0.006317267,0.012224591,0.016146905,0.005889219,0.011808851,0.001869418,0.00148445,0.009618293,0.003131246,0.005666037,0.013843589,5.58E-05,0.010434783,0.006343907,0.001444043,0.007267442,0.012874584,0.004604437,0.008055694,0.007327349,0.010689418,0.008835417,0.015933232,0.002288054,0.010231849,0.018186227,0.015345269,0.002811115,0.009830128,0.030085653,0.003592221,0.007286124,0.014519669,0.009237875,0.007621069,0.009139201,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.472999742,1,0.7557442779,,0.3132075373,1,0.7753696754,,0.009785352576,0.008707627015,0.88986339
Rhamnose metabolism,0.000136036,0.000587889,0.00034459,0,0.002676978,0.000745712,0.003510825,0,0.001035733,0.000119389,0.001862464,0,0.000226757,0.001278772,0.000713649,0,0.002821538,8.37E-05,0.000275908,0.002960956,0.000392362,0.000433369,0.002268784,0,0.002248314,0,0.002249213,0.000429701,0,0,0.00327562,0.001563611,0,0.000318336,0.000220726,0,0,0.000483939,0.00532978,0.000444395,0.000652316,0.000334971,0.000434783,0.001446856,0,0.00090843,0,0,0.002884137,0,9.81E-05,0,0.001213961,0.001806358,0.000435398,0,0.001644136,0,0.00103475,0,0.000990958,8.19E-05,0,9.24E-05,0.001639977,0.0002856,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2993450915,1,0.6976091236,,0.3134606545,1,0.7753696754,,0.0009770253939,0.0006903672879,0.7066011714
DNA condensation,0,0.000587889,0,0,0,0,0,0.000259774,0.000172622,0.000477555,0,0,0.000226757,0.000274023,0.000535236,0,0.00039188,0.000753012,0,0,0.000130787,0,0,0,0,0,0,0,0,0.000417711,0,0,0,0.00079584,0,0.000138475,7.42E-05,0.00024197,0.00206529,0.000555494,0.000144959,0.001004913,0,0.00066778,0,0,0,0,0,0,0,0,0,0.000240848,0.000108849,0,0,0.00010812,0.000258688,0,0,0.000491199,0,9.24E-05,0,0.0002856,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2656828572,1,0.6976091236,,0.3136409868,1,0.7753696754,,0.0001280983636,0.0002204432212,1.72089022
Two-component regulatory system,0.000476126,0.002351558,0.00034459,0.000228311,0.000148721,8.29E-05,0.000390092,0.001948305,0.000517866,0.000477555,0.000859599,0.000325415,0.000907029,0.00100475,0.000356824,0.001684565,0.001332393,0.001589692,0.000882905,0.000552043,0.000523149,0.001083424,0,0.000740101,0,0.000349243,0.001349528,0.002148505,0,0.002506266,0.001754796,0.000284293,0,0.000901952,0,0.00090009,0.001039115,0.000120985,0.001332445,0.002166426,0.000217439,0.003740509,0.000434783,0.001112966,0.001155235,0.001453488,0.000221976,0,0.001591248,0.001282286,0.000882613,0.000939938,0.000151745,0.001806358,0.000435398,0,0.000365364,0.000973078,0.000689834,0.000535332,0.001114827,0.001801064,0.000168833,0.00295612,0.001832915,0.0017136,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2956341169,1,0.6976091236,,0.3168782938,1,0.7753696754,,0.000824257603,0.001031453394,1.251372617
Calvin cycle,0.02530268,0.032113463,0.021019986,0.034246575,0.017772159,0.04283702,0.029646967,0.031042993,0.035560159,0.03008596,0.024498567,0.036609177,0.031405896,0.028863719,0.037109723,0.027479469,0.025942472,0.023176037,0.031232756,0.026397671,0.030015694,0.021885157,0.013612705,0.031824349,0.025980515,0.014784633,0.026990553,0.032141629,0.024895668,0.022277917,0.028427702,0.026439232,0.029444356,0.026262733,0.025162786,0.029495257,0.025309879,0.038896618,0.030579614,0.026385957,0.031093716,0.02523448,0.011521739,0.027601558,0.023537906,0.030523256,0.018867925,0.019673504,0.0264545,0.029309397,0.030401098,0.029232071,0.020637329,0.025289017,0.026559269,0.02085354,0.028498356,0.034382095,0.022850737,0.019379015,0.03604608,0.031191158,0.032753672,0.023741339,0.027590199,0.023533444,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3786086247,1,0.7041147929,,0.3194008651,1,0.7753696754,,0.02791101694,0.02663179527,0.9541678589
Intron homing,0,0,0,0,0.000297442,0,0,0.000649435,0,0,0,0,0.000453515,0.000182682,0,0.000210571,0,8.37E-05,0,0.000301114,0,0,0.000266916,0,0,0,0.000112461,0.000257821,0,0,0.000701919,0.000284293,0,0.000106112,0.000110363,0.000138475,7.42E-05,0,0.000266489,0.000277747,0,0,0,0,0,0,0,0,0,0,0,0,0.000151745,0.000481696,0,0,0,0.00010812,0,0,0,0,0,0,0,5.71E-05,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1144578568,1,0.6976091236,,0.324132086,1,0.7753696754,,0.0001152071818,5.37E-05,4.66E-01
Cytochrome c-type biogenesis,0,0,0,0.000228311,0,0,0,0,0,0,0,0,0.000113379,0,0,0.000421141,0,0.000334672,0.000220726,0.0003513,0,0.000433369,0,0,0,0,0.000224921,0.00017188,0,0.000417711,0,0,0,0.000106112,0,6.92E-05,0.000519558,0,0,0.000388846,0,0.000167485,0.000869565,0,0,0,0,0,0,0,0,0,0,0.000481696,0,0.000484966,0.001461454,0.00010812,0.000344917,0.000107066,0,0.000163733,0,0.000277136,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.1928889771,1,0.6976091236,,0.3296035933,1,0.7753696754,,8.84E-05,0.0001681785364,1.90E+00
Melanin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000390799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,1.18E-05,#DIV/0!
Gastrulation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,8.46E-06,#DIV/0!
RNA repair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,6.59E-06,#DIV/0!
Ethylene biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000182682,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,5.54E-06,#DIV/0!
Gibberellin signaling pathway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000182682,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,5.54E-06,#DIV/0!
Carotenoid biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,4.36E-06,0,0.00E+00
Plasmid copy control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,4.22E-06,0,0.00E+00
Keratinization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.3248127137,1,0.6976091236,,0.3321975614,1,0.7753696754,,0,4.20E-06,#DIV/0!
