,C1.1,C1.2,C1.3,C1.4,C1.5,C1.6,C1.7,C1.8,C1.9,C1.10,C1.11,C1.12,C1.13,C1.14,C1.15,C1.16,C1.17,C1.18,C1.19,C1.20,C1.21,C1.22,C1.23,C1.24,C1.25,C1.26,C1.27,C1.28,C1.29,C1.30,C1.31,C1.32,C1.33,ABC.1,ABC.2,ABC.3,ABC.4,ABC.5,ABC.6,ABC.7,ABC.8,ABC.9,ABC.10,ABC.11,ABC.12,ABC.13,ABC.14,ABC.15,ABC.16,ABC.17,ABC.18,ABC.19,ABC.20,ABC.21,ABC.22,ABC.23,ABC.24,ABC.25,ABC.26,ABC.27,ABC.28,ABC.29,ABC.30,ABC.31,ABC.32,ABC.33,Abundance,Space1,description,Space2,pvalue (Ttest),Bonferoni Correction (Ttest),Benjamin-Hochberger Correction (Ttest),Space3,Mann-Whitney U Test (Wilcox-Test),Bonferoni Correction (Wilcox-Test),Benjamin-Hochberger Correction (Wilcox-Test),Space5,Average Group 1,Average Group 2,Group_2/Group_1
Meta-Protein 748,0,0,0,0,0,0.0003861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000534095,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2010735961,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.62E-05,0,0.00E+00
Meta-Protein 3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000216029,0,0,0,0,0,0,0,0.000298701,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2011848037,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,9.05E-06,#DIV/0!
Meta-Protein 2997,0,0,0,0,0,0,0,0,0,0,0,0,0.000309454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000427406,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2014606359,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.30E-05,0,0.00E+00
Meta-Protein 3461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152462,0,0,0,0,0,0.000402414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000554877,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2018772382,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.68E-05,0,0.00E+00
Meta-Protein 4214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82E-05,0.000233536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000321781,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2020600417,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,9.75E-06,#DIV/0!
Meta-Protein 2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000234137,0,0,0.000322383,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2022377589,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,9.77E-06,#DIV/0!
Meta-Protein 1128,0,0.000201776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000536553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738328,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2023917388,1,0.4787624411,,0.1604800306,1,0.4961271955,,2.24E-05,0,0.00E+00
Meta-Protein 6653,0,0,0,0,0,0,0,0,0,0,0.000593824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000815948,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2027614642,1,0.4787624411,,0.1604800306,1,0.4961271955,,2.47E-05,0,0.00E+00
Meta-Protein 3932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47E-05,0,0,0,0,0,0,0,0,0,0,0.000254388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349112,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2030766085,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.06E-05,#DIV/0!
Meta-Protein 1171,0,0.000100888,0,0,0,0,0.00027533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000376218,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2041921917,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.14E-05,0,0.00E+00
Meta-Protein 3753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150989,0,0,0,0,0,0,0,0,0,0,0,0.000566559,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2047826378,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.72E-05,#DIV/0!
Meta-Protein 9435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117178,0,0,0,0,0,0,0.000324044,0,0,0,0,0,0,0,0.000441222,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2051129118,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.34E-05,#DIV/0!
Meta-Protein 3935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000378896,0,0,0,0,0,0,0,0,0,0,0,0.000136949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000515844,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2051455269,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.56E-05,#DIV/0!
Meta-Protein 1612,0,0,0,0.000688705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000248221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000936926,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2053435196,1,0.4787624411,,0.1604800306,1,0.4961271955,,2.84E-05,0,0.00E+00
Meta-Protein 3881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330961,0,0,0,0,0,0,0,0,0.000117952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000448914,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2061270366,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.36E-05,0,0.00E+00
Meta-Protein 4139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83E-05,0,0,0,0,0.000276243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000374533,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2062414152,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.13E-05,#DIV/0!
Meta-Protein 4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001017553,0,0,0,0,0,0,0,0,0,0,0,0,0.000361533,0,0,0,0,0,0.001379086,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2063421361,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,4.18E-05,#DIV/0!
Meta-Protein 9478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000920175,0,0,0,0,0,0,0,0,0,0,0,0,0.000326131,0.001246306,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.206514143,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,3.78E-05,#DIV/0!
Meta-Protein 4438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330688,0,0,0,0,0,0,0,0,0,0,0.000117178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000447866,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2065292679,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.36E-05,#DIV/0!
Meta-Protein 8704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744048,0,0,0,0,0,0.000259471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001003518,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.207646812,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,3.04E-05,#DIV/0!
Meta-Protein 3568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000443984,0,0,0,0.00015456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000598544,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2077689984,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.81E-05,0,0.00E+00
Meta-Protein 3729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86E-05,0,0,0,0,0,0,0,0,0,0,0.00019988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268519,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2087252211,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,8.14E-06,#DIV/0!
Meta-Protein 2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000705965,0,0,0.000241468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000947434,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2090035507,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,2.87E-05,#DIV/0!
Meta-Protein 8495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134138,0,0,0,0,0,0,0,0.000392619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526757,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2090835986,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.60E-05,0,0.00E+00
Meta-Protein 1237,0,0,0.000435793,0,0,0,0,0,0,0.000146972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000582766,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2099921418,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.77E-05,0,0.00E+00
Meta-Protein 3808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000406091,0,0,0,0,0,0,0,0,0,0,0,0,0.000136949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054304,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2099951874,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.65E-05,#DIV/0!
Meta-Protein 228,9.74E-05,0,0.000290529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000387928,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2104101883,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.18E-05,0,0.00E+00
Meta-Protein 6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244598,0.000325088,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2117162591,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,9.85E-06,#DIV/0!
Meta-Protein 2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001385233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000452967,0,0,0,0,0,0,0,0,0,0,0,0.0018382,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2121595321,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,5.57E-05,#DIV/0!
Meta-Protein 4503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001520681,0,0,0.004670472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006191154,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2124612539,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,0.000187610697,#DIV/0!
Meta-Protein 9592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000503778,0,0,0,0,0,0,0,0,0,0.000163066,0.000666844,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2128739882,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,2.02E-05,#DIV/0!
Meta-Protein 3940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000473619,0,0,0,0,0,0,0.000152068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000625688,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2134422544,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.90E-05,#DIV/0!
Meta-Protein 4046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142349,0,0,0,0,0,0,0,0,0,0,0,0,0.000444247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000586596,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2135842958,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.78E-05,0,0.00E+00
Meta-Protein 4427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165344,0,0,0,0,0,0.000518941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000684285,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.213981783,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,2.07E-05,#DIV/0!
Meta-Protein 4417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165344,0,0,0,0,0,0.000518941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000684285,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.213981783,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,2.07E-05,#DIV/0!
Meta-Protein 4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27E-05,0,0,0,0,0,0.000259471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000342143,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2139819182,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.04E-05,#DIV/0!
Meta-Protein 7844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000274556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000864118,0,0,0,0,0,0,0,0.001138673,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2141777285,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,3.45E-05,#DIV/0!
Meta-Protein 3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000263992,0,0,0,0,0,0,8.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000347695,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2143243851,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.05E-05,0,0.00E+00
Meta-Protein 3794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304569,9.47E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000399292,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2156772202,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.21E-05,#DIV/0!
Meta-Protein 6004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000452967,0,0,0,0,0.000140607,0,0,0,0,0,0,0.000593574,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2158117575,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.80E-05,#DIV/0!
Meta-Protein 5016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001767956,0,0,0,0.000542299,0,0,0,0,0,0.002310255,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2166463645,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,7.00E-05,#DIV/0!
Meta-Protein 3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47E-05,0,0,0.000311381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000406105,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2172267152,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.23E-05,#DIV/0!
Meta-Protein 9586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000503778,0,0.000152975,0,0,0,0,0,0,0,0,0.000656754,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2173534062,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.99E-05,#DIV/0!
Meta-Protein 3219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000138523,0,0,0,0,0,0,0,0,0.000456204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000594728,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2173563814,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.80E-05,#DIV/0!
Meta-Protein 5674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82E-05,0,0,0,0,0,0,0,0,0,0,0,0.000290698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000378943,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2173743135,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,1.15E-05,#DIV/0!
Meta-Protein 4635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001556824,0,0,0,0,0.000468713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002025537,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.217951572,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,6.14E-05,#DIV/0!
Meta-Protein 3728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023092,0,0,0,0,0.000299559,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2188459201,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,9.08E-06,#DIV/0!
Meta-Protein 4469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000552486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163066,0.000715552,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2193387593,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,2.17E-05,#DIV/0!
Meta-Protein 9094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000518941,0,0,0,0,0,0,0,0,0,0,0.000152975,0,0,0,0,0,0,0,0,0.000671917,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2194254453,1,0.4787624411,,0.1604800306,1,0.4961271955,,0,2.04E-05,#DIV/0!
Meta-Protein 3458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000457387,0,0,0,0,0,0.000134138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000591525,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2197842225,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.79E-05,0,0.00E+00
Meta-Protein 3472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000457387,0,0,0,0,0,0.000134138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000591525,,"GROUP 1 vs GROUP2 pvalue:  0.05 , Group 1:  1  to  33 , Group 2:  34  to  66",,0.2197842225,1,0.4787624411,,0.1604800306,1,0.4961271955,,1.79E-05,0,0.00E+00
